"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[];  (Рабочий ток) Охлаждение: S[2.37];  (Потребляемая мощность) Охлаждение: N[0.545];  (Рабочий ток) Обогрев: S[3.04];  (Потребляемая мощность) Обогрев: S[0.7];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[1.08];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[34 / 37.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.56];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.66];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[930];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 280 x 215];  (Внутренний блок) Упаковка (Ш x Г x В): S[820 x 259 x 330];  (Внутренний блок) Масса (нетто / брутто): S[8.2/9.2];  (Внутренний блок) Уровень шума мин. / макс.: S[25/30/39/47];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[39.5 / 42.5];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[25];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.481];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.593];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[980];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[20/27/35/43];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[38.2 / 41.7];  (Наружный блок) Максимальный уровень шума: N[47];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -25 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.814];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.8];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[980];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[22/29/37/45];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[38.2 / 41.7];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -25 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[5.8];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.397];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.415];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1300];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 295 x 210];  (Внутренний блок) Упаковка (Ш x Г x В): S[954 x 290 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11/13.5];  (Внутренний блок) Уровень шума мин. / макс.: S[25/31/39/47];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[800 x 736 x 350];  (Наружный блок) Упаковка (Ш x Г x В): S[950 x 805 x 490];  (Наружный блок) Масса (нетто / брутто): S[51.7 / 56.2];  (Наружный блок) Максимальный уровень шума: N[51];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -25 до +21];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +43]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Теплопроизводительность: N[7];  (Сплит система) Площадь помещения: N[60];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.71];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.84];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1500];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 300 x 230];  (Внутренний блок) Упаковка (Ш x Г x В): S[970 x 300 x 360];  (Внутренний блок) Масса (нетто / брутто): S[11.5/13];  (Внутренний блок) Уровень шума мин. / макс.: S[30/33/42/48];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 750 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 800 x 404];  (Наружный блок) Масса (нетто / брутто): S[50 / 55];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Теплопроизводительность: N[8];  (Сплит система) Площадь помещения: N[70];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.11];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.2];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1600];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[1100 x 300 x 260];  (Внутренний блок) Упаковка (Ш x Г x В): S[1155 x 330 x 365];  (Внутренний блок) Масса (нетто / брутто): S[15/17];  (Внутренний блок) Уровень шума мин. / макс.: S[30/36/42/47];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 800 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 848 x 404];  (Наружный блок) Масса (нетто / брутто): S[52 / 57];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Канальные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[25];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.595];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.875];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[860];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[750 x 235 x 400];  (Внутренний блок) Упаковка (Ш x Г x В): S[806 x 306 x 594];  (Внутренний блок) Масса (нетто / брутто): S[16/18];  (Внутренний блок) Уровень шума мин. / макс.: S[27.5/30.5/34/38.5];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
"Производитель: E[Hitachi];  Тип: S[Канальные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.8];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.945];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.26];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[860];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[750 x 235 x 400];  (Внутренний блок) Упаковка (Ш x Г x В): S[806 x 306 x 594];  (Внутренний блок) Масса (нетто / брутто): S[16/18];  (Внутренний блок) Уровень шума мин. / макс.: S[27.5/30.5/34/38.5];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
"Производитель: E[Hitachi];  Тип: S[Канальные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.42];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.57];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1500];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 270 x 720];  (Внутренний блок) Упаковка (Ш x Г x В): S[1110 x 280 x 850];  (Внутренний блок) Масса (нетто / брутто): S[35/39];  (Внутренний блок) Уровень шума мин. / макс.: S[29/32/35/39];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 750 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 800 x 404];  (Наружный блок) Масса (нетто / брутто): S[50 / 55];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Канальные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Теплопроизводительность: N[7];  (Сплит система) Площадь помещения: N[60];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.71];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.84];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1500];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 270 x 720];  (Внутренний блок) Упаковка (Ш x Г x В): S[1110 x 280 x 850];  (Внутренний блок) Масса (нетто / брутто): S[35/39];  (Внутренний блок) Уровень шума мин. / макс.: S[29/32/35/39];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 750 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 800 x 404];  (Наружный блок) Масса (нетто / брутто): S[50 / 55];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Канальные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Теплопроизводительность: N[8];  (Сплит система) Площадь помещения: N[70];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.11];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.2];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1600];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[900 x 270 x 720];  (Внутренний блок) Упаковка (Ш x Г x В): S[1110 x 280 x 850];  (Внутренний блок) Масса (нетто / брутто): S[35/39];  (Внутренний блок) Уровень шума мин. / макс.: S[29/32/35/39];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 800 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 848 x 404];  (Наружный блок) Масса (нетто / брутто): S[52 / 57];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[25];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.595];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.875];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[860];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 285 x 570];  (Внутренний блок) Упаковка (Ш x Г x В): S[690 x 312 x 602];  (Внутренний блок) Масса (нетто / брутто): S[17/21];  (Внутренний блок) Уровень шума мин. / макс.: S[27/31/35/38];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
"Производитель: E[Hitachi];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.8];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.875];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.23];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[860];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 285 x 570];  (Внутренний блок) Упаковка (Ш x Г x В): S[690 x 312 x 602];  (Внутренний блок) Масса (нетто / брутто): S[17/21];  (Внутренний блок) Уровень шума мин. / макс.: S[27/33/37/40];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[750 x 548 x 288];  (Наружный блок) Упаковка (Ш x Г x В): S[871 x 591 x 377];  (Наружный блок) Масса (нетто / брутто): S[32.5 / 35];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
"Производитель: E[Hitachi];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[5];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[50];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.42];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.57];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1500];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 285 x 570];  (Внутренний блок) Упаковка (Ш x Г x В): S[690 x 312 x 602];  (Внутренний блок) Масса (нетто / брутто): S[17/21];  (Внутренний блок) Уровень шума мин. / макс.: S[29/35/39/43];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 750 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 800 x 404];  (Наружный блок) Масса (нетто / брутто): S[50 / 55];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[6];  (Сплит система) Теплопроизводительность: N[7];  (Сплит система) Площадь помещения: N[60];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.71];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.84];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[1500];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[570 x 285 x 570];  (Внутренний блок) Упаковка (Ш x Г x В): S[690 x 312 x 602];  (Внутренний блок) Масса (нетто / брутто): S[17/21];  (Внутренний блок) Уровень шума мин. / макс.: S[29/35/39/43];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[850 x 750 x 298];  (Наружный блок) Упаковка (Ш x Г x В): S[1008 x 800 x 404];  (Наружный блок) Масса (нетто / брутто): S[50 / 55];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -15 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -15 до +46]"
"Производитель: E[Hitachi];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Теплопроизводительность: N[3.4];  (Сплит система) Площадь помещения: N[25];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.538];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.756];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[980];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[750 x 590 x 215];  (Внутренний блок) Упаковка (Ш x Г x В): S[800 x 646 x 286];  (Внутренний блок) Масса (нетто / брутто): S[15/17];  (Внутренний блок) Уровень шума мин. / макс.: S[20/26/31/38];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[37 / 40];  (Наружный блок) Максимальный уровень шума: N[45];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -20 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
"Производитель: E[Hitachi];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[да];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Теплопроизводительность: N[4.5];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.933];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.154];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[980];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[750 x 590 x 215];  (Внутренний блок) Упаковка (Ш x Г x В): S[800 x 646 x 286];  (Внутренний блок) Масса (нетто / брутто): S[15/17];  (Внутренний блок) Уровень шума мин. / макс.: S[20/26/31/39];  (Наружный блок) Марка компрессора: S[Hitachi / Highly];  (Наружный блок) Размеры (Ш x Г x В): S[792 x 600 x 299];  (Наружный блок) Упаковка (Ш x Г x В): S[924 x 650 x 400];  (Наружный блок) Масса (нетто / брутто): S[37 / 40];  (Наружный блок) Максимальный уровень шума: N[47];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.53];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[от -20 до +24];  (Допустимая темп. наружного воздуха) Обогрев: S[от -10 до +46]"
