"Производитель: E[Axioma];  Тип: S[Мульти сплит система];  (Сплит система) Холодопроизводительность: N[4.1];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[4.31];  (Потребляемая мощность) Охлаждение: N[1.25];  (Потребляемая мощность) Обогрев: S[1.16];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[853x349x602];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[31];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.35];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.5];  (Потребляемая мощность) Охлаждение: N[0.68];  (Потребляемая мощность) Обогрев: S[0.65];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.77 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[710x293x450];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[20.8];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.2];  (Сплит система) Площадь помещения: N[20];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.4];  (Потребляемая мощность) Охлаждение: N[0.59];  (Потребляемая мощность) Обогрев: S[0.59];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.75 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[39/22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[710x293x450];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.6];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.7];  (Потребляемая мощность) Охлаждение: N[0.79];  (Потребляемая мощность) Обогрев: S[0.73];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.75 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[720x310x428];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[24.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.55];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[2.65];  (Потребляемая мощность) Охлаждение: N[0.79];  (Потребляемая мощность) Обогрев: S[0.73];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.77 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[710x293x450];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[24.7];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.65];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.85];  (Потребляемая мощность) Охлаждение: N[0.78];  (Потребляемая мощность) Обогрев: S[0.78];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.77 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[710x293x450];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[2.5];  (Сплит система) Площадь помещения: N[25];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[2.8];  (Потребляемая мощность) Охлаждение: N[0.68];  (Потребляемая мощность) Обогрев: S[0.73];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[698x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.75 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[38/22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[732x330x550];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[24.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[3.3];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[3.4];  (Потребляемая мощность) Охлаждение: N[1.01];  (Потребляемая мощность) Обогрев: S[0.94];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[773x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.82 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[42/29];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[776x320x540];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[30];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[3.25];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[3.4];  (Потребляемая мощность) Охлаждение: N[1.01];  (Потребляемая мощность) Обогрев: S[0.94];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[773x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.85 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[40/28];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[732x330x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[28];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[3.5];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.5];  (Потребляемая мощность) Охлаждение: N[1.08];  (Потребляемая мощность) Обогрев: S[0.91];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[773x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.83 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[41/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[732x330x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[26.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[35];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[3.4];  (Потребляемая мощность) Охлаждение: N[0.99];  (Потребляемая мощность) Обогрев: S[0.92];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[773x185x250];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[0.85 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[41/24];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[732x330x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[25];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[4.8];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[5.3];  (Потребляемая мощность) Охлаждение: N[1.5];  (Потребляемая мощность) Обогрев: S[1.47];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[849x215x289];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.1 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[42/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[848x320x540];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[39];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[4.8];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[5.16];  (Потребляемая мощность) Охлаждение: N[1.48];  (Потребляемая мощность) Обогрев: S[1.43];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[849x215x289];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.08 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[41/32];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[802x350x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[38.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[4.6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.2];  (Потребляемая мощность) Охлаждение: N[1.35];  (Потребляемая мощность) Обогрев: S[1.34];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[970x225x300];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.35 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[44/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[732x330x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[26.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[9.5];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[4.6];  (Сплит система) Площадь помещения: N[50];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.2];  (Потребляемая мощность) Охлаждение: N[1.35];  (Потребляемая мощность) Обогрев: S[1.34];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[970x225x300];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.35 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[44/31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[732x330x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[26.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6.2];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[6.7];  (Потребляемая мощность) Охлаждение: N[1.92];  (Потребляемая мощность) Обогрев: S[1.86];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[970x225x300];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.35 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/37];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[913x378x680];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[50];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6.15];  (Сплит система) Площадь помещения: N[60];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[6.7];  (Потребляемая мощность) Охлаждение: N[1.92];  (Потребляемая мощность) Обогрев: S[1.86];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[970x225x300];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.36 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[48/35];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[873x376x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[43];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6.16];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[6.2];  (Потребляемая мощность) Охлаждение: N[1.92];  (Потребляемая мощность) Обогрев: S[1.69];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[970x225x300];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.3 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/34];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[873x376x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[35.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.4];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Сплит система];  (Сплит система) Холодопроизводительность: N[6.2];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[6.5];  (Потребляемая мощность) Охлаждение: N[1.83];  (Потребляемая мощность) Обогрев: S[1.91];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[970x225x300];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.3 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[48/26];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[873x376x555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[36.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[12.7];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
