"Производитель: E[Axioma];  Тип: S[Мультисистема];  (Сплит система) Холодопроизводительность: N[4.85];  (Сплит система) Площадь помещения: N[40];  (Сплит система) Инвертор: S[да];  (Сплит система) Теплопроизводительность: N[5.2];  (Потребляемая мощность) Охлаждение: N[1.56];  (Потребляемая мощность) Обогрев: S[1.56];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[853*349*602];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[6.35];  (Соединительные трубы) Газовая линия : N[9.52];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*240*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/45/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[70];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[2.63];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*240*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.7 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/45/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[101];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[75];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[2.63];  (Потребляемая мощность) Обогрев: S[3];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*240*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/45/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[95];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[75];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[3.16];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*240*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/45/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[82];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[3.16];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*240*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/45/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[72];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[70];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.8 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[70];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[85];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[85];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.8 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[85];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[85];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[70];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.8 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[70];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[101];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[75];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[95];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[75];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[82];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Площадь помещения: N[100];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[10.8];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1200*262*340];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[49/41];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[72];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6.8];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[7.5];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1050*238*290];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.3 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[60];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6.8];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[7.5];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[1 / 220 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1050*238*290];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[ - / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[81];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[55];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[Daichi];  Тип: S[Настенный];  (Сплит система) Холодопроизводительность: N[6.8];  (Сплит система) Площадь помещения: N[70];  (Сплит система) Инвертор: S[нет];  (Сплит система) Теплопроизводительность: N[7.5];  (Потребляемая мощность) Охлаждение: N[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Охлаждение: S[];  (Рабочий ток) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[3 / 380 / 50];  (Рабочий ток) Хладагент: S[R32];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш * Г * В): S[1050*238*290];  (Внутренний блок) Упаковка (Ш * Г * В): S[];  (Внутренний блок) Масса (нетто / брутто): S[1.3 / - ];  (Внутренний блок) Уровень шума мин. / макс.: S[45/40];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш * Г * В): S[];  (Наружный блок) Упаковка (Ш * Г * В): S[];  (Наружный блок) Масса (нетто / брутто): S[81];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.5];  (Соединительные трубы) Газовая линия : N[15.9];  (Соединительные трубы) Максимальная длина трубопровода: N[55];  (Соединительные трубы) Максимальный перепад высот: S[30];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
