"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3];  (Сплит система) Теплопроизводительность: N[3];  (Сплит система) Площадь помещения: N[27];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.905];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.74];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 212 x 270];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8];  (Внутренний блок) Уровень шума мин. / макс.: S[21];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[660 x 240 x 482];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22];  (Наружный блок) Максимальный уровень шума: N[53];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.66];  (Сплит система) Теплопроизводительность: N[3.94];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.2];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.15];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 212 x 270];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8.5];  (Внутренний блок) Уровень шума мин. / макс.: S[23];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[660 x 240 x 482];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22.5];  (Наружный блок) Максимальный уровень шума: N[48.5];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.2];  (Сплит система) Теплопроизводительность: N[3.2];  (Сплит система) Площадь помещения: N[27];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.795];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.7];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 212 x 270];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8.5];  (Внутренний блок) Уровень шума мин. / макс.: S[21];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[660 x 240 x 482];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21.5];  (Наружный блок) Максимальный уровень шума: N[42];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[5.9];  (Сплит система) Теплопроизводительность: N[6];  (Сплит система) Площадь помещения: N[53];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.58];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.55];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[940 x 224 x 316];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[11.5];  (Внутренний блок) Уровень шума мин. / макс.: S[29];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[785 x 300 x 555];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[28];  (Наружный блок) Максимальный уровень шума: N[54];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[15];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.8];  (Сплит система) Теплопроизводительность: N[4.2];  (Сплит система) Площадь помещения: N[27];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.8];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.85];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[792 x 201 x 292];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8.5];  (Внутренний блок) Уровень шума мин. / макс.: S[19];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[660 x 260 x 456];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22.5];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[4.1];  (Сплит система) Теплопроизводительность: N[4.2];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.1];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[792 x 201 x 292];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8.5];  (Внутренний блок) Уровень шума мин. / макс.: S[21];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[705 x 280 x 530];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[22.5];  (Наружный блок) Максимальный уровень шума: N[50];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[8.2];  (Сплит система) Теплопроизводительность: N[8.2];  (Сплит система) Площадь помещения: N[70];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.402];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.13];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[1083 x 244 x 336];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[13.6];  (Внутренний блок) Уровень шума мин. / макс.: S[34.5];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[955 x 342 x 673];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[43.9];  (Наружный блок) Максимальный уровень шума: N[62];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[50];  (Соединительные трубы) Максимальный перепад высот: S[25];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.2];  (Сплит система) Теплопроизводительность: N[3.8];  (Сплит система) Площадь помещения: N[28];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.86];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.93];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[729 x 200 x 292];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8];  (Внутренний блок) Уровень шума мин. / макс.: S[21];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[720 x 270 x 495];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[20.2];  (Наружный блок) Максимальный уровень шума: N[54];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[5.9];  (Сплит система) Теплопроизводительность: N[5.9];  (Сплит система) Площадь помещения: N[53];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.55];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.75];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[969 x 241 x 320];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[11.2];  (Внутренний блок) Уровень шума мин. / макс.: S[31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[874 x 330 x 554];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[33.5];  (Наружный блок) Максимальный уровень шума: N[54];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[30];  (Соединительные трубы) Максимальный перепад высот: S[20];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.2];  (Сплит система) Теплопроизводительность: N[3.8];  (Сплит система) Площадь помещения: N[20];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.639];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.649];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[729 x 200 x 292];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8];  (Внутренний блок) Уровень шума мин. / макс.: S[20];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[720 x 270 x 495];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[20.2];  (Наружный блок) Максимальный уровень шума: N[54];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.8];  (Сплит система) Теплопроизводительность: N[4];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.096];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.015];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[727 x 200 x 292];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[8.1];  (Внутренний блок) Уровень шума мин. / макс.: S[22];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[720 x 270 x 495];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21.4];  (Наружный блок) Максимальный уровень шума: N[56];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.37];  (Сплит система) Теплопроизводительность: N[3.69];  (Сплит система) Площадь помещения: N[26];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.82];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.77];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 190 x 275];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[7.5];  (Внутренний блок) Уровень шума мин. / макс.: S[23];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[712 x 276 x 459];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[3.81];  (Сплит система) Теплопроизводительность: N[3.96];  (Сплит система) Площадь помещения: N[35];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.095];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.013];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 190 x 275];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[7.5];  (Внутренний блок) Уровень шума мин. / макс.: S[23];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[712 x 276 x 459];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[2.8];  (Сплит система) Теплопроизводительность: N[2.95];  (Сплит система) Площадь помещения: N[20];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.635];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[0.65];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[780 x 190 x 275];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[7.5];  (Внутренний блок) Уровень шума мин. / макс.: S[23];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[712 x 276 x 459];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[21];  (Наружный блок) Максимальный уровень шума: N[49];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[15];  (Соединительные трубы) Максимальный перепад высот: S[5];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Да];  (Сплит система) Холодопроизводительность: N[7.4];  (Сплит система) Теплопроизводительность: N[8];  (Сплит система) Площадь помещения: N[72];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[0.2];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.2];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[1132 x 232 x 330];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[14];  (Внутренний блок) Уровень шума мин. / макс.: S[31];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[900 x 350 x 700];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[39];  (Наружный блок) Максимальный уровень шума: N[62];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[25];  (Соединительные трубы) Максимальный перепад высот: S[15];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Нет];  (Сплит система) Холодопроизводительность: N[7];  (Сплит система) Теплопроизводительность: N[7.3];  (Сплит система) Площадь помещения: N[70];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.18];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.02];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[1002 x 238 x 315];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[12.5];  (Внутренний блок) Уровень шума мин. / макс.: S[34];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[860 x 310 x 667];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[46.5];  (Наружный блок) Максимальный уровень шума: N[54];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Сплит система];  (Сплит система) Инвертор: S[Нет];  (Сплит система) Холодопроизводительность: N[5.2];  (Сплит система) Теплопроизводительность: N[5.2];  (Сплит система) Площадь помещения: N[52];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[1.62];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.44];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[1002 x 238 x 315];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[12.5];  (Внутренний блок) Уровень шума мин. / макс.: S[34];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[780 x 260 x 540];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[34];  (Наружный блок) Максимальный уровень шума: N[53];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[20];  (Соединительные трубы) Максимальный перепад высот: S[10];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Мобильный];  (Сплит система) Инвертор: S[Нет];  (Сплит система) Холодопроизводительность: N[3.55];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[30];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[];  (Наружный блок) Упаковка (Ш x Г x В): S[430 x 48.5 x 890];  (Наружный блок) Масса (нетто / брутто): S[30 / 34];  (Наружный блок) Максимальный уровень шума: N[48];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[BALLU];  Тип: S[Мобильный];  (Сплит система) Инвертор: S[Нет];  (Сплит система) Холодопроизводительность: N[3.22];  (Сплит система) Теплопроизводительность: N[];  (Сплит система) Площадь помещения: N[30];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[];  (Рабочий ток) Напряжение / Частота источника питания: S[220-240/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: S[];  (Внутренний блок) Размеры (Ш x Г x В): S[];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[];  (Наружный блок) Упаковка (Ш x Г x В): S[330 x 560 x 865];  (Наружный блок) Масса (нетто / брутто): S[28 / 32];  (Наружный блок) Максимальный уровень шума: N[45];  (Соединительные трубы) Жидкостная линия : N[];  (Соединительные трубы) Газовая линия : N[];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
