"Производитель: E[267800];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[10];  (Сплит система) Теплопроизводительность: N[10.6];  (Сплит система) Площадь помещения: N[100];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.99];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.79];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[965 x 950 x 370];  (Внутренний блок) Упаковка (Ш x Г x В): S[];  (Внутренний блок) Масса (нетто / брутто): S[82];  (Внутренний блок) Уровень шума мин. / макс.: S[52];  (Наружный блок) Марка компрессора: S[Mitsubishi с двумя роторами];  (Наружный блок) Размеры (Ш x Г x В): S[965 x 950 x 370];  (Наружный блок) Упаковка (Ш x Г x В): S[];  (Наружный блок) Масса (нетто / брутто): S[94];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[276200];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[13.4];  (Сплит система) Теплопроизводительность: N[14.5];  (Сплит система) Площадь помещения: N[134];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[4.32];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4.25];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[948 x 340 x 1250];  (Внутренний блок) Упаковка (Ш x Г x В): S[990 x 990 x 380];  (Внутренний блок) Масса (нетто / брутто): S[91];  (Внутренний блок) Уровень шума мин. / макс.: S[60];  (Наружный блок) Марка компрессора: S[Mitsubishi];  (Наружный блок) Размеры (Ш x Г x В): S[948 x 340 x 1250];  (Наружный блок) Упаковка (Ш x Г x В): S[990 x 990 x 380];  (Наружный блок) Масса (нетто / брутто): S[101];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[135100];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[7.1];  (Сплит система) Теплопроизводительность: N[7.1];  (Сплит система) Площадь помещения: N[71];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.2];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.91];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[860 x 308 x 730];  (Внутренний блок) Упаковка (Ш x Г x В): S[995 x 420 x 815];  (Внутренний блок) Масса (нетто / брутто): S[49];  (Внутренний блок) Уровень шума мин. / макс.: S[68];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[860 x 308 x 730];  (Наружный блок) Упаковка (Ш x Г x В): S[995 x 420 x 815];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[170100];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Теплопроизводительность: N[10.1];  (Сплит система) Площадь помещения: N[95];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.96];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.8];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Внутренний блок) Упаковка (Ш x Г x В): S[1040 x 430 x 1000];  (Внутренний блок) Масса (нетто / брутто): S[31];  (Внутренний блок) Уровень шума мин. / макс.: S[69];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Наружный блок) Упаковка (Ш x Г x В): S[1040 x 430 x 1000];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[230000];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[12.1];  (Сплит система) Теплопроизводительность: N[13];  (Сплит система) Площадь помещения: N[121];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[4.02];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4];  (Рабочий ток) Напряжение / Частота источника питания: S[3/380/50];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Внутренний блок) Упаковка (Ш x Г x В): S[1142 x 498 x 1000];  (Внутренний блок) Масса (нетто / брутто): S[82];  (Внутренний блок) Уровень шума мин. / макс.: S[70];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Наружный блок) Упаковка (Ш x Г x В): S[1142 x 498 x 1000];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[206300];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[15.3];  (Сплит система) Теплопроизводительность: N[16.3];  (Сплит система) Площадь помещения: N[153];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[5.06];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[5.07];  (Рабочий ток) Напряжение / Частота источника питания: S[3/380/50];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[960 x 340 x 1250];  (Внутренний блок) Упаковка (Ш x Г x В): S[1095 x 410 x 1400];  (Внутренний блок) Масса (нетто / брутто): S[46];  (Внутренний блок) Уровень шума мин. / макс.: S[70];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[960 x 340 x 1250];  (Наружный блок) Упаковка (Ш x Г x В): S[1095 x 410 x 1400];  (Наружный блок) Масса (нетто / брутто): S[];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[177800];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[9.9];  (Сплит система) Теплопроизводительность: N[11];  (Сплит система) Площадь помещения: N[99];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[3.29];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[3.05];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1135 x 742 x 270];  (Внутренний блок) Упаковка (Ш x Г x В): S[1300 x 850 x 380];  (Внутренний блок) Масса (нетто / брутто): S[45.4];  (Внутренний блок) Уровень шума мин. / макс.: S[58];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[1135 x 742 x 270];  (Наружный блок) Упаковка (Ш x Г x В): S[1300 x 850 x 380];  (Наружный блок) Масса (нетто / брутто): S[51.3];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[135300];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[7.1];  (Сплит система) Теплопроизводительность: N[7.1];  (Сплит система) Площадь помещения: N[71];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.1];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[1.91];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1170 x 420 x 185];  (Внутренний блок) Упаковка (Ш x Г x В): S[1345 x 525 x 260];  (Внутренний блок) Масса (нетто / брутто): S[27];  (Внутренний блок) Уровень шума мин. / макс.: S[68];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[1170 x 420 x 185];  (Наружный блок) Упаковка (Ш x Г x В): S[1345 x 525 x 260];  (Наружный блок) Масса (нетто / брутто): S[28.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[250900];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[12.5];  (Сплит система) Теплопроизводительность: N[14.1];  (Сплит система) Площадь помещения: N[125];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[4.15];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[3.9];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Внутренний блок) Упаковка (Ш x Г x В): S[1130 x 490 x 930];  (Внутренний блок) Масса (нетто / брутто): S[82];  (Внутренний блок) Уровень шума мин. / макс.: S[59];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Наружный блок) Упаковка (Ш x Г x В): S[1130 x 490 x 930];  (Наружный блок) Масса (нетто / брутто): S[93];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[296000];  Тип: S[Канальные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[15.5];  (Сплит система) Теплопроизводительность: N[16.5];  (Сплит система) Площадь помещения: N[155];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[5.13];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4.57];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[960 x 340 x 1250];  (Внутренний блок) Упаковка (Ш x Г x В): S[1095 x 410 x 1400];  (Внутренний блок) Масса (нетто / брутто): S[96];  (Внутренний блок) Уровень шума мин. / макс.: S[];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[960 x 340 x 1250];  (Наружный блок) Упаковка (Ш x Г x В): S[1095 x 410 x 1400];  (Наружный блок) Масса (нетто / брутто): S[106];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[133900];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[6.3];  (Сплит система) Теплопроизводительность: N[7.1];  (Сплит система) Площадь помещения: N[63];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.16];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.08];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[860 x 308 x 730];  (Внутренний блок) Упаковка (Ш x Г x В): S[995 x 420 x 815];  (Внутренний блок) Масса (нетто / брутто): S[49];  (Внутренний блок) Уровень шума мин. / макс.: S[68];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[860 x 308 x 730];  (Наружный блок) Упаковка (Ш x Г x В): S[995 x 420 x 815];  (Наружный блок) Масса (нетто / брутто): S[52];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[179400];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[10];  (Сплит система) Теплопроизводительность: N[10.6];  (Сплит система) Площадь помещения: N[100];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.77];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.94];  (Рабочий ток) Напряжение / Частота источника питания: S[];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Внутренний блок) Упаковка (Ш x Г x В): S[1040 x 430 x 1000];  (Внутренний блок) Масса (нетто / брутто): S[37];  (Внутренний блок) Уровень шума мин. / макс.: S[69];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Наружный блок) Упаковка (Ш x Г x В): S[1040 x 430 x 1000];  (Наружный блок) Масса (нетто / брутто): S[47];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[235900];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[12.5];  (Сплит система) Теплопроизводительность: N[14.1];  (Сплит система) Площадь помещения: N[125];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[3.89];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4.1];  (Рабочий ток) Напряжение / Частота источника питания: S[3/380/50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Внутренний блок) Упаковка (Ш x Г x В): S[1130 x 490 x 930];  (Внутренний блок) Масса (нетто / брутто): S[54];  (Внутренний блок) Уровень шума мин. / макс.: S[70];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Наружный блок) Упаковка (Ш x Г x В): S[1130 x 490 x 930];  (Наружный блок) Масса (нетто / брутто): S[61];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[279600];  Тип: S[Напольно-потолочные];  (Сплит система) Инвертор: S[нет];  (Сплит система) Холодопроизводительность: N[15.5];  (Сплит система) Теплопроизводительность: N[16.5];  (Сплит система) Площадь помещения: N[155];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[5.13];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4.83];  (Рабочий ток) Напряжение / Частота источника питания: S[3/380/50];  (Рабочий ток) Хладагент: S[R410A];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[960 x 340 x 1250];  (Внутренний блок) Упаковка (Ш x Г x В): S[1095 x 410 x 1400];  (Внутренний блок) Масса (нетто / брутто): S[96];  (Внутренний блок) Уровень шума мин. / макс.: S[70];  (Наружный блок) Марка компрессора: S[Mitsubishi Electric];  (Наружный блок) Размеры (Ш x Г x В): S[960 x 340 x 1250];  (Наружный блок) Упаковка (Ш x Г x В): S[1095 x 410 x 1400];  (Наружный блок) Масса (нетто / брутто): S[106];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[176500];  Тип: S[Колонные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[14.1];  (Сплит система) Теплопроизводительность: N[15.1];  (Сплит система) Площадь помещения: N[141];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[4.8];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[5];  (Рабочий ток) Напряжение / Частота источника питания: S[3/400/50];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1008 x 447 x 830];  (Внутренний блок) Упаковка (Ш x Г x В): S[1130 x 490 x 930];  (Внутренний блок) Масса (нетто / брутто): S[95];  (Внутренний блок) Уровень шума мин. / макс.: S[58];  (Наружный блок) Марка компрессора: S[];  (Наружный блок) Размеры (Ш x Г x В): S[1008 x 447 x 830];  (Наружный блок) Упаковка (Ш x Г x В): S[1130 x 490 x 930];  (Наружный блок) Масса (нетто / брутто): S[105];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[134200];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[7.25];  (Сплит система) Теплопроизводительность: N[8];  (Сплит система) Площадь помещения: N[72.5];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.26];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.34];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[810 x 288 x 688];  (Внутренний блок) Упаковка (Ш x Г x В): S[990 x 990 x 310];  (Внутренний блок) Масса (нетто / брутто): S[57];  (Внутренний блок) Уровень шума мин. / макс.: S[56];  (Наружный блок) Марка компрессора: S[Mitsubishi];  (Наружный блок) Размеры (Ш x Г x В): S[810 x 288 x 688];  (Наружный блок) Упаковка (Ш x Г x В): S[990 x 990 x 310];  (Наружный блок) Масса (нетто / брутто): S[60.5];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[173200];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[9.5];  (Сплит система) Теплопроизводительность: N[10.1];  (Сплит система) Площадь помещения: N[95];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[2.96];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[2.8];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Внутренний блок) Упаковка (Ш x Г x В): S[1040 x 430 x 1000];  (Внутренний блок) Масса (нетто / брутто): S[64];  (Внутренний блок) Уровень шума мин. / макс.: S[54];  (Наружный блок) Марка компрессора: S[Hitachi];  (Наружный блок) Размеры (Ш x Г x В): S[948 x 340 x 840];  (Наружный блок) Упаковка (Ш x Г x В): S[1040 x 430 x 1000];  (Наружный блок) Масса (нетто / брутто): S[73];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[15.88 (5/8)];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
"Производитель: E[192500];  Тип: S[Кассетные];  (Сплит система) Инвертор: S[];  (Сплит система) Холодопроизводительность: N[12.1];  (Сплит система) Теплопроизводительность: N[13];  (Сплит система) Площадь помещения: N[121];  (Рабочий ток) Охлаждение: S[];  (Потребляемая мощность) Охлаждение: N[4.68];  (Рабочий ток) Обогрев: S[];  (Потребляемая мощность) Обогрев: S[4.48];  (Рабочий ток) Напряжение / Частота источника питания: S[230/50/1];  (Рабочий ток) Хладагент: S[];  (Рабочий ток) Количество хладагента: N[];  (Рабочий ток) Объем рециркулируемого воздуха внутреннего блока: N[];  (Внутренний блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Внутренний блок) Упаковка (Ш x Г x В): S[1142 x 498 x 1000];  (Внутренний блок) Масса (нетто / брутто): S[82];  (Внутренний блок) Уровень шума мин. / макс.: S[59];  (Наружный блок) Марка компрессора: S[Daikin];  (Наружный блок) Размеры (Ш x Г x В): S[1008 x 410 x 830];  (Наружный блок) Упаковка (Ш x Г x В): S[1142 x 498 x 1000];  (Наружный блок) Масса (нетто / брутто): S[93];  (Наружный блок) Максимальный уровень шума: N[];  (Соединительные трубы) Жидкостная линия : N[9.52];  (Соединительные трубы) Газовая линия : N[19.05];  (Соединительные трубы) Максимальная длина трубопровода: N[];  (Соединительные трубы) Максимальный перепад высот: S[];  (Допустимая темп. наружного воздуха) Охлаждение: S[];  (Допустимая темп. наружного воздуха) Обогрев: S[]"
